ELEMENT_ID,GRAND_GROUPE,Nom_francais,Autres_noms_francais,Nom_anglais,Autres_noms_anglais,Nom_scientifique,Anciens_noms_scientifiques,Commentaires,Origine,Regularite,Degre_de_certitude,Statuts_des_populations,CLASSE,ORDRE,FAMILLE,GENRE,ESPECE,SOUS_ESPECE_POP,Rang_S,STATUT_LEMV,COMPETENCE_PRINCIPALE
211,Oiseaux,Mouette atricille,mouette à tête noire; goéland atricille; mangui; mauve à tête noire,Laughing Gull,Sea Gull; Laughing Bird; Gullie; Black-head,Leucophaeus atricilla,Larus atricilla,,Indigène,Régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Leucophaeus,atricilla,,SNA,Non suivie,Environnement et Changement climatique Canada
212,Oiseaux,Mouette de Franklin,mouette des Prairies; mouette ichtyaète; goéland de Franklin; mauve de Franklin,Franklin's Gull,Franklin's Rosy; Prairie Dove; Rosy Gull; Black-headed Gull,Leucophaeus pipixcan,Larus pipixcan,,Indigène,Régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Leucophaeus,pipixcan,,SNA,Non suivie,Environnement et Changement climatique Canada
213,Oiseaux,Mouette pygmée,petite mouette; goéland à pieds rouges; goéland pygmée,Little Gull,,Hydrocoloeus minutus,Larus minutus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Hydrocoloeus,minutus,,S3M,Non suivie,Environnement et Changement climatique Canada
214,Oiseaux,Mouette rieuse,mouette rieuse d'Europe; rieuse; goéland rieur; mouette à capuchon brun,Black-headed Gull,Black-headed Gull; Brown-headed Gull,Chroicocephalus ridibundus,Larus ridibundus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,,S3B,Non suivie,Environnement et Changement climatique Canada
215,Oiseaux,Mouette de Bonaparte,mouette Bonaparte; goéland Bonaparte; mauve de Bonaparte; mauve,Bonaparte's Gull,Rosy Gull; Blackhead; Mackerel Gull; Sea Pigeon,Chroicocephalus philadelphia,Larus philadelphia,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Chroicocephalus,philadelphia,,S4B,Non suivie,Environnement et Changement climatique Canada
216,Oiseaux,Goéland cendré,goéland à bec court; goéland brun; goéland à petit bec; goéland à pieds bleus,Mew Gull,Short-billed Gull; Common Gull,Larus canus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Larus,canus,,SNA,Non suivie,Environnement et Changement climatique Canada
217,Oiseaux,Goéland à bec cerclé,mouette de Delaware; goéland à bec anneau noir; goéland américain commun; goéland criard,Ring-billed Gull,Pond Gull; Sea Gull; Squeaky Gull; Squeezy Gull,Larus delawarensis,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Larus,delawarensis,,S5B,Non suivie,Environnement et Changement climatique Canada
218,Oiseaux,Goéland de Californie,,California Gull,Blue Gull; Sea Gull; Morman gull,Larus californicus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Larus,californicus,,SNA,Non suivie,Environnement et Changement climatique Canada
219,Oiseaux,Goéland hudsonien,goéland argenté; goéland à manteau bleu; grisard; goéland; goillan,American Herring Gull,Herring Gull; Harbour Gull; Common Sea Gull;,Larus smithsonianus,Larus argentatus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Larus,smithsonianus,,S4B,Non suivie,Environnement et Changement climatique Canada
221,Oiseaux,Goéland arctique,,Iceland Gull,,Larus glaucoides,Larus thayeri,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Charadriiformes,Laridae,Larus,glaucoides,,S3S4,Non suivie,Environnement et Changement climatique Canada
223,Oiseaux,Goéland brun,goéland à manteau brun; goéland à pieds jaunes; petit goéland à manteau noir; petit manteau noir,Lesser Black-backed Gull,Scandinavian Lesser Black-backed Gull,Larus fuscus,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Larus,fuscus,,S4M,Non suivie,Environnement et Changement climatique Canada
224,Oiseaux,Goéland à manteau ardoisé,,Slaty-backed Gull,,Larus schistisagus,Brachyramphus schistisagus,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Larus,schistisagus,,SNA,Non suivie,Environnement et Changement climatique Canada
226,Oiseaux,Goéland bourgmestre,goéland à manteau gris; bourgmestre; goéland à dos bleuâtre; goéland à manteau glauque,Glaucous Gull,Owly Gull; Point Barrow Gull; Hutchin's Gull; Burgomaster,Larus hyperboreus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Charadriiformes,Laridae,Larus,hyperboreus,,S4,Non suivie,Environnement et Changement climatique Canada
227,Oiseaux,Goéland marin,goéland à manteau noir; grand manteau noir; goéland maritime; grand goéland à manteau noir,Great Black-backed Gull,Common Black-headed; Black-backed Gull; Black-back; Cobb,Larus marinus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Larus,marinus,,S4B,Non suivie,Environnement et Changement climatique Canada
228,Oiseaux,Goéland leucophée,,Yellow-legged Gull,,Larus michahellis,Larus cachinnans,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Larus,michahellis,,SNA,Non suivie,Environnement et Changement climatique Canada
229,Oiseaux,Mouette tridactyle,mauve; goéland Tridactyle; mouette; mauve à trois doigts,Black-legged Kittiwake,Cahavac; Risse Tridactyle; Atlantic Kittiwake; Coddy,Rissa tridactyla,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Rissa,tridactyla,,S4B,Non suivie,Environnement et Changement climatique Canada
230,Oiseaux,Mouette rosée,,Ross's Gull,,Rhodostethia rosea,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Rhodostethia,rosea,,SNA,Non suivie,Environnement et Changement climatique Canada
231,Oiseaux,Mouette de Sabine,goéland de Sabine; mauve de Sabine,Sabine's Gull,Sabine Gull; Fork-tailed Gull,Xema sabini,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Xema,sabini,,S3M,Non suivie,Environnement et Changement climatique Canada
232,Oiseaux,Mouette blanche,goéland sénateur; mouette ivoire; goéland blanc; mouette sénateur,Ivory Gull,White-winged Gull; Duck Gull; Ice Bird; Ice Gull,Pagophila eburnea,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Pagophila,eburnea,,SNA,Non suivie,Environnement et Changement climatique Canada
233,Oiseaux,Sterne caspienne,sterne tchégrava; sterne tschegrava; hydroprogné tschégrava; grand esterette,Caspian Tern,Gannet Striker; Great Tern; Imperial Tern; Redbill,Hydroprogne caspia,Sterna caspia,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Hydroprogne,caspia,,S1B,Menacée,Environnement et Changement climatique Canada
234,Oiseaux,Sterne caugek,,Sandwich Tern,,Thalasseus sandvicensis,Sterna sandvicensis,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Thalasseus,sandvicensis,,SNA,Non suivie,Environnement et Changement climatique Canada
235,Oiseaux,Sterne de Dougall,sterne rosée; sterne rose,Roseate Tern,McDougall's tern,Sterna dougallii,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Sterna,dougallii,,S1B,Menacée,Environnement et Changement climatique Canada
236,Oiseaux,Sterne pierregarin,sterne commune; hirondelle de mer pierre-garin; esterlet; petite mauve,Common Tern,Havells tern; Red-shank; Summer Gull; Tlarr,Sterna hirundo,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Sterna,hirundo,,S4B,Non suivie,Environnement et Changement climatique Canada
237,Oiseaux,Sterne arctique,sterne paradis; hirondelle de mer; sterlet; sterne à longue queue,Arctic Tern,Blackhead; Greenland Swallow; Crimson-billed Tern; Long-tailed Tern,Sterna paradisaea,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Sterna,paradisaea,,S4B,Non suivie,Environnement et Changement climatique Canada
238,Oiseaux,Sterne de Forster,esterelle,Forster's Tern,Tern,Sterna forsteri,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Sterna,forsteri,,SNA,Non suivie,Environnement et Changement climatique Canada
240,Oiseaux,Sterne fuligineuse,,Sooty Tern,,Onychoprion fuscatus,Sterna fuscata,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Onychoprion,fuscatus,,SNA,Non suivie,Environnement et Changement climatique Canada
241,Oiseaux,Guifette leucoptère,guifette à ailes blanches; sterne leucoptère; sterne noire à ailes blanches,White-winged Tern,White-winged Black Tern,Chlidonias leucopterus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Chlidonias,leucopterus,,SNA,Non suivie,Environnement et Changement climatique Canada
242,Oiseaux,Guifette noire,sterne noire; mouette noire; épouvantail; sterne épouvantail,Black Tern,Black-billied tern; Short-tailed Tern; Sea Pigeon; Semipalmated Tern,Chlidonias niger,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Laridae,Chlidonias,niger,,S2S3B,Candidate,Environnement et Changement climatique Canada
243,Oiseaux,Bec-en-ciseaux noir,bec-en-ciseaux; bec-en-ciseaux d'Amérique; bec-en-ciseaux américain,Black Skimmer,Cut Water; Flood Gull; Razor-bill; Scissor Bill,Rynchops niger,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Laridae,Rynchops,niger,,SNA,Non suivie,Environnement et Changement climatique Canada
244,Oiseaux,Mergule nain,mergule; pigeon; petit guillemot; oiseau de misère,Dovekie,Bull; Bull Bird; Gilly; Little Auk,Alle alle,,,Indigène,Régulier,Confirmé,Migrateur,Aves,Charadriiformes,Alcidae,Alle,alle,,S4M,Non suivie,Environnement et Changement climatique Canada
245,Oiseaux,Guillemot marmette,marmette de Troïl; marmette de l'Atlantique; marmette de Calofornie; guillemot bridé,Common Murre,Thin-billed Murre; Atlantic Murre; California Murre; Common Guillemot,Uria aalge,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Alcidae,Uria,aalge,,S5B,Non suivie,Environnement et Changement climatique Canada
246,Oiseaux,Guillemot de Brünnich,marmette de Brünnich; guillemot à gros bec; marmette; guillemot arra,Thick-billed Murre,Brunnich's Guillemot; Brünnich's Murre; Frank's guillemot; Thick-billed Guillemot,Uria lomvia,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Alcidae,Uria,lomvia,,S4B,Non suivie,Environnement et Changement climatique Canada
247,Oiseaux,Petit pingouin,gode; pingouin torda; pingouin macroptère; pingouin,Razorbill,Auk; Baccaloo; Backalew Bird; Hawk-billed Murre,Alca torda,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Alcidae,Alca,torda,,S5B,Non suivie,Environnement et Changement climatique Canada
249,Oiseaux,Guillemot à miroir,guillemot noir; guillemot à mirroir blanc; guillemot grylle; guillemot,Black Guillemot,Mandt's Guillemot; Pigeon Murre; White-winged Guillemot,Cepphus grylle,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Alcidae,Cepphus,grylle,,S4S5B,Non suivie,Environnement et Changement climatique Canada
250,Oiseaux,Guillemot à long bec,guillemot marbré; alque marbrée; murrelet marmoré; murrelet marbré,Long-billed Murrelet,Marbled Murrelet; Marbled Guillemot; Dabchick; Sea Chick,Brachyramphus perdix,Brachyramphus marmoratus,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Alcidae,Brachyramphus,perdix,,SNA,Non suivie,Environnement et Changement climatique Canada
251,Oiseaux,Guillemot à cou blanc,alque à cou blanc; alque starique; guillemot antique; alque antique,Ancient Murrelet,,Synthliboramphus antiquus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Charadriiformes,Alcidae,Synthliboramphus,antiquus,,SNA,Non suivie,Environnement et Changement climatique Canada
252,Oiseaux,Macareux moine,macareux artique; puffin; macareux de l'Atlantique; macareux commun,Atlantic Puffin,Sea Parrot; Large-billed Puffin; Paroquet,Fratercula arctica,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Charadriiformes,Alcidae,Fratercula,arctica,,S3B,Non suivie,Environnement et Changement climatique Canada
253,Oiseaux,Pigeon biset,pigeon domestique; pigeon de roche; pigeon sauvage; pigeon biset sauvage,Rock Pigeon,Xixell; Feral Pigeon; Feral Rock Dove; Domestic Pigeon,Columba livia,,,Exotique,Régulier,Confirmé,Toute l'année,Aves,Columbiformes,Columbidae,Columba,livia,,SNA,Non suivie,Québec
254,Oiseaux,Tourterelle à ailes blanches,colombe à ailes blanches,White-winged Dove,Brown Indian Dove; Whitewing,Zenaida asiatica,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Columbiformes,Columbidae,Zenaida,asiatica,,SNA,Non suivie,Environnement et Changement climatique Canada
255,Oiseaux,Tourterelle triste,colombe de la Caroline; tourterelle pleureuse; pigeon pleurard; tourterelle queue-fine,Mourning Dove,American Mourning Dove; Domestic Pigeon; Wood Pigeon; Long-tailed Dove,Zenaida macroura,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Columbiformes,Columbidae,Zenaida,macroura,,S4S5B,Non suivie,Environnement et Changement climatique Canada
257,Oiseaux,Coulicou à bec noir,coucou aux yeux rouges; piaya aux yeux rouges; piaye aux yeux rouges; coulicou aux yeux rouges,Black-billed Cuckoo,Cuckoo; Rain Bird; Rain Crow,Coccyzus erythropthalmus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Cuculiformes,Cuculidae,Coccyzus,erythropthalmus,,S4B,Non suivie,Environnement et Changement climatique Canada
258,Oiseaux,Coulicou à bec jaune,coulicou américain; coulicou; coucou des pluies; coucou américain à bec jaune,Yellow-billed Cuckoo,May Bird; Four-o'clock Bird; Mani-coco; Coffin Bird,Coccyzus americanus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Cuculiformes,Cuculidae,Coccyzus,americanus,,S2S3B,Non suivie,Environnement et Changement climatique Canada
261,Oiseaux,Petit-duc maculé,petit duc; scops d'Amérique; petit hibou; moyen duc,Eastern Screech-owl,Common Screech Owl; Screech Owl; Barn Owl; Hoot Owl,Megascops asio,Otus asio,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Megascops,asio,,S3S4,Non suivie,Québec
262,Oiseaux,Grand-duc d'Amérique,grand-duc de Virginie; hibou de Virginie; hibou à aigrettes; hibou des pins,Great Horned Owl,Virginia Eared Owl; Labrador Horned Owl; Horned Owl; Big Owl,Bubo virginianus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Bubo,virginianus,,S5,Non suivie,Québec
263,Oiseaux,Harfang des neiges,chouette harfang; harfang; surnie harfang; chouette blanche,Snowy Owl,Arctic Owl; Northern Owl; Snow Owl; White Owl,Bubo scandiacus,Nyctea scandiaca,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Bubo,scandiacus,,S4,Non suivie,Québec
264,Oiseaux,Chouette épervière,surnie épervière; surnie; surnie caparoch américaine; surnie caparoch européenne,Northern Hawk Owl,Northern Hawk-owl; Hawk-owl; Toot-owl; Hawk Owl,Surnia ulula,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Surnia,ulula,,S4,Non suivie,Québec
265,Oiseaux,Chevêche des terriers,chouette des terriers; hibou de terrier; hibou des lapins d'Amérique; chevêche fouisseuse,Burrowing Owl,,Athene cunicularia,Speotyto cunicularia,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Strigiformes,Strigidae,Athene,cunicularia,,SNA,Non suivie,Québec
266,Oiseaux,Chouette rayée,chevèche; chouette du Canada,Barred Owl,Grey Owl; Hoot Owl; Mouse Owl; Round-headed Owl,Strix varia,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Strix,varia,,S5,Non suivie,Québec
267,Oiseaux,Chouette lapone,chouette cendrée; duc de Laponie; chouette de Laponie; hibou cendré,Great Gray Owl,Cinereous Owl; Grey Owl; Peckled Owl,Strix nebulosa,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Strix,nebulosa,,S4,Retirée,Québec
268,Oiseaux,Hibou moyen-duc,hibou à aigrettes longues; petit duc; moyen-duc; hibou commun,Long-eared Owl,Common Long-eared Owl; American long-eared Owl,Asio otus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Strigiformes,Strigidae,Asio,otus,,S4B,Non suivie,Québec
269,Oiseaux,Hibou des marais,hibou de brachyote; chat-huant; effraie; fressaie,Short-eared Owl,American Short-eared Owl,Asio flammeus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Strigiformes,Strigidae,Asio,flammeus,,S3B,Susceptible,Québec
270,Oiseaux,Nyctale de Tengmalm,nyctale boréale; chouette de Tengmalm; aegolie Tengmalm; chouette pattue,Boreal Owl,Tengmalm; Tengmalm's Owl; Arctic Saw-whet Owl,Aegolius funereus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Strigiformes,Strigidae,Aegolius,funereus,,S4,Non suivie,Québec
271,Oiseaux,Petite nyctale,nyctale d'Acadie; chouette limard; chouette d'Acadie; chouette-scie,Northern Saw-whet Owl,Saw-whet Owl; Acadian Owl; Common Saw-whet Owl,Aegolius acadicus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Strigiformes,Strigidae,Aegolius,acadicus,,S4S5B,Non suivie,Québec
272,Oiseaux,Engoulevent d'Amérique,engoulevent commun; engoulevent commun d'Amérique; engoulevent américain; engoulevent mange-maringouins,Common Nighthawk,Night-hawk,Chordeiles minor,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,,S3S4B,Susceptible,Environnement et Changement climatique Canada
273,Oiseaux,Engoulevent de Caroline,engoulevent à queue rousse; engoulevent de la Caroline,Chuck-will's-widow,Goat Sucker of Carolina,Antrostomus carolinensis,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,carolinensis,,SNA,Non suivie,Environnement et Changement climatique Canada
274,Oiseaux,Engoulevent bois-pourri,engoulevent criard; bois-pourri; engoulevent bruyant; engoulevent vocifère,Eastern Whip-poor-will,Whip-poor-will; Moskoto Hawk; Whip-her-well,Antrostomus vociferus,Caprimulgus vociferus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus,vociferus,,S3B,Vulnérable,Environnement et Changement climatique Canada
275,Oiseaux,Martinet ramoneur,martinet à queue épineuse; martinet épineux; martinet de cheminée; chéture,Chimney Swift,American Swift; American Swallow;  Ramono; Chimney Swallow,Chaetura pelagica,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Apodiformes,Apodidae,Chaetura,pelagica,,S2B,Menacée,Environnement et Changement climatique Canada
276,Oiseaux,Colibri à gorge rubis,colibri rubis; colibri de la Caroline; rubis de la Caroline; petit rubis de la Caroline,Ruby-throated Hummingbird,Fly; Honey Bird; Hummer,Archilochus colubris,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Apodiformes,Trochilidae,Archilochus,colubris,,S5B,Non suivie,Environnement et Changement climatique Canada
277,Oiseaux,Martin-pêcheur d'Amérique,alcyon-ceinturé; martin-pêcheur ceinturé; martin-pêcheur géant américain; alcyon à collier d'Amérique,Belted Kingfisher,Sanglode; Pie; Alcyon; Ceryle alcyon,Megaceryle alcyon,Ceryle alcyon,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Coraciiformes,Alcedinidae,Megaceryle,alcyon,,S4B,Non suivie,Québec
278,Oiseaux,Pic à tête rouge,mélanerpe à tête rouge; pic tricolor; pic noir à domino rouge; pic-à-bois,Red-headed Woodpecker,Woodcock; Wood Pick; Wood Pecker; Redhead,Melanerpes erythrocephalus,Melanerpes erythocephalus,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,,S1B,Menacée,Environnement et Changement climatique Canada
279,Oiseaux,Pic à ventre roux,pic de la Caroline; pic de Caroline; pic à ventre rouge,Red-bellied Woodpecker,Western Red-bellied Woodpecker,Melanerpes carolinus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Piciformes,Picidae,Melanerpes,carolinus,,S3,Non suivie,Environnement et Changement climatique Canada
280,Oiseaux,Pic maculé,épeiche de la Caroline; pic varié de la Caroline; pique-sève à ventre jaune; pic suceur,Yellow-bellied Sapsucker,North American Yellow-bellied Sapsucker; Common Sapsucker; Woodpecker; Sook,Sphyrapicus varius,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Piciformes,Picidae,Sphyrapicus,varius,,S5B,Non suivie,Environnement et Changement climatique Canada
281,Oiseaux,Pic mineur,pic duveteux; pic minule; épeiche de Virginie; petit pic varié de Virginie,Downy Woodpecker,Black and White Woodpecker; Smaller Spotted Woodpecker,Dryobates pubescens,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Piciformes,Picidae,Dryobates,pubescens,,S5,Non suivie,Environnement et Changement climatique Canada
282,Oiseaux,Pic chevelu,pic; pique-bois; pic chevelu du Nord,Hairy Woodpecker,Northern Hairy Woodpecker; Big Woodpecker; Grey Woodpecker; Iron-Bill,Dryobates villosus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Piciformes,Picidae,Dryobates,villosus,,S5,Non suivie,Environnement et Changement climatique Canada
283,Oiseaux,Pic à dos rayé,pic tridactyle; picoïde tridactyle; pic d'Amérique; pique-bois,American Three-toed Woodpecker,Northern Three-toed Woodpecker; American Three-toed Woodpecker; Common Three-toed,Picoides dorsalis,Picoides tridactylus,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Piciformes,Picidae,Picoides,dorsalis,,S4,Non suivie,Environnement et Changement climatique Canada
284,Oiseaux,Pic à dos noir,pic artique,Black-backed Woodpecker,Little Black Woodpecker; Yellow-head; Black-backed Three-toed Woodpecker; Arctic Woodpecker,Picoides arcticus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Piciformes,Picidae,Picoides,arcticus,,S4,Non suivie,Environnement et Changement climatique Canada
285,Oiseaux,Pic flamboyant,pic doré,Northern Flicker,,Colaptes auratus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Piciformes,Picidae,Colaptes,auratus,,S5B,Non suivie,Environnement et Changement climatique Canada
286,Oiseaux,Grand pic,dryocope; pic chevelu; pic huppé; pic noir à huppe rouge d'Amérique du Nord,Pileated Woodpecker,Larger Red-crested Wood-pecker,Dryocopus pileatus,,,Indigène,Régulier,Confirmé,Toute l'année,Aves,Piciformes,Picidae,Dryocopus,pileatus,,S5,Non suivie,Environnement et Changement climatique Canada
287,Oiseaux,Moucherolle à côtés olive,pioui à côtés olive; moucherolle olivâtre; tyran à flanc olive; moucherolle aux côtes olive,Olive-sided Flycatcher,,Contopus cooperi,Contopus borealis,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Contopus,cooperi,,S3S4B,Vulnérable,Environnement et Changement climatique Canada
288,Oiseaux,Pioui de l'Est,moucherolle verdâtre; moucherolle verdâtre des bois,Eastern Wood-Pewee,Wood pewee; Pewee; Small Pewee; Eastern Wood Pewee,Contopus virens,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Contopus,virens,,S3B,Candidate,Environnement et Changement climatique Canada
289,Oiseaux,Moucherolle à ventre jaune,moucherolle d'Acadie,Yellow-bellied Flycatcher,,Empidonax flaviventris,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Empidonax,flaviventris,,S5B,Non suivie,Environnement et Changement climatique Canada
290,Oiseaux,Moucherolle vert,moucherolle d'Acadie; tyran d'Acadie; moucherolle à huppe verte,Acadian Flycatcher,,Empidonax virescens,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Passeriformes,Tyrannidae,Empidonax,virescens,,SNA,Non suivie,Environnement et Changement climatique Canada
291,Oiseaux,Moucherolle des aulnes,,Alder Flycatcher,,Empidonax alnorum,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Empidonax,alnorum,,S5B,Non suivie,Environnement et Changement climatique Canada
292,Oiseaux,Moucherolle des saules,moucherolle de Traill; gobe-mouche de Traill,Willow Flycatcher,Traill's Flycatcher,Empidonax traillii,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Empidonax,traillii,,S4B,Non suivie,Environnement et Changement climatique Canada
293,Oiseaux,Moucherolle tchébec,gobe-moucheron; petit moucherolle,Least Flycatcher,Chebec,Empidonax minimus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Empidonax,minimus,,S5B,Non suivie,Environnement et Changement climatique Canada
294,Oiseaux,Moucherolle phébi,moucherolle brun; moucherolle phoebé; tyran phoebé; phoebé,Eastern Phoebe,Dusky Fly-catcher; Phoebe Flycatcher; Phoebe; Pewee,Sayornis phoebe,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,,S5B,Non suivie,Environnement et Changement climatique Canada
295,Oiseaux,Moucherolle à ventre roux,moucherolle de Say; moucherolle brun; pi-ouit,Say's Phoebe,Say's Fly-catcher; Flycatcher,Sayornis saya,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Passeriformes,Tyrannidae,Sayornis,saya,,SNA,Non suivie,Environnement et Changement climatique Canada
296,Oiseaux,Tyran à gorge cendrée,moucherolle à gorge cendrée,Ash-throated Flycatcher,,Myiarchus cinerascens,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,,SNA,Non suivie,Environnement et Changement climatique Canada
297,Oiseaux,Tyran huppé,moucherolle huppé; moucherolle à huppe grise; tyran royal; moucherolle à huppe,Great Crested Flycatcher,Crested Flycatcher; Crested Phoebe; Southern Crested Flycatcher,Myiarchus crinitus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Myiarchus,crinitus,,S4B,Non suivie,Environnement et Changement climatique Canada
298,Oiseaux,Tyran mélancolique,,Tropical Kingbird,,Tyrannus melancholicus,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Passeriformes,Tyrannidae,Tyrannus,melancholicus,,SNA,Non suivie,Environnement et Changement climatique Canada
299,Oiseaux,Tyran de l'Ouest,moucherolle de l'Arkansas,Western Kingbird,Arkansas Kingbird; Flycatcher,Tyrannus verticalis,,,Indigène,Accidentel/non régulier,Confirmé,Migrateur,Aves,Passeriformes,Tyrannidae,Tyrannus,verticalis,,SNA,Non suivie,Environnement et Changement climatique Canada
300,Oiseaux,Tyran tritri,tyran oriental; tyran de la Caroline; tyran savana; tyran royal,Eastern Kingbird,,Tyrannus tyrannus,,,Indigène,Régulier,Confirmé,Reproducteur,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,,S4B,Non suivie,Environnement et Changement climatique Canada
