ELEMENT_ID,GRAND_GROUPE,Nom_francais,Autres_noms_francais,Nom_anglais,Autres_noms_anglais,Nom_scientifique,Anciens_noms_scientifiques,Commentaires,Origine,Regularite,Degre_de_certitude,Statuts_des_populations,CLASSE,ORDRE,FAMILLE,GENRE,ESPECE,SOUS_ESPECE_POP,Rang_S,STATUT_LEMV,COMPETENCE_PRINCIPALE
483,Poissons,Chaboisseau arctique,,Arctic Sculpin,,Myoxocephalus scorpioides,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Myoxocephalus,scorpioides,,S4,Non suivie,Pêches et Océans Canada
481,Poissons,Chaboisseau bronzé,crapaud de mer nain,Grubby,Little Sculpin,Myoxocephalus aenaeus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Myoxocephalus,aenaeus,,S4,Non suivie,Pêches et Océans Canada
478,Poissons,Chabot à tête plate,,Spoonhead Sculpin,Spoonhead muddler; Rice's sculpin,Cottus ricei,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Cottidae,Cottus,ricei,,S5,Non suivie,Déléguée au Québec
480,Poissons,Chabot de profondeur,"COSEPAC: chabot de profondeur, pop. des Grands Lacs et du haut Saint-Laurent",Deepwater Sculpin,Sculpin; Lake Sculoin; Deep-water Blob; Fourhorn SculpinNachtrieb Dace; Northern Minnow; Pearl Dace; Allegheny Pearl Dace;,Myoxocephalus thompsonii,Myoxocephalus quadricornis,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Myoxocephalus,thompsonii,,S1,Menacée,Déléguée au Québec
476,Poissons,Chabot tacheté,chabot du nord; chabot des Grands Lacs,Mottled Sculpin,Northern Muddler; Northern Sculpin; Miller's Thumb; Blob,Cottus bairdii,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Cottidae,Cottus,bairdii,,S4S5,Non suivie,Déléguée au Québec
477,Poissons,Chabot visqueux,,Slimy Sculpin,Slimy Muddler; Eastern Slimy Sculpin; Miller's Thumb; Cockatouch,Cottus cognatus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Cottidae,Cottus,cognatus,,S5,Non suivie,Déléguée au Québec
593,Poissons,Chat-fou brun,chat-fou,Tadpole Madtom,Schilbeodes Mollis; Mad Tom; Tadpole Stonecat; Tadpole Cat,Noturus gyrinus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Siluriformes,Ictaluridae,Noturus,gyrinus,,S4,Non suivie,Déléguée au Québec
592,Poissons,Chat-fou des rapides,barbotte des rapides,Stonecat,Stone Catfish; Stonecat Madtom; White Cat; Doogler,Noturus flavus,,"Le nom commun français diffère de celui utilisé dans la publication ""American Fisheries Society (2013) Common and Scientific Names of Fishes from the United States, Canada, and Mexico, 7th edition"", mais sera révisé lors de la prochaine publication.",Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Siluriformes,Ictaluridae,Noturus,flavus,,S3,Vulnérable,Déléguée au Québec
594,Poissons,Chat-fou liséré,chat-fou livré,Margined Madtom,,Noturus insignis,,Espèce des côtes Atlantique Nord introduite par les canaux d'eau et dispersée ensuite comme appâts vivants.,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Siluriformes,Ictaluridae,Noturus,insignis,,S1?,Susceptible,Déléguée au Québec
30229,Poissons,Chauliode très lumineux,chauliode très-lumineux,Sloane's Viperfish,Manylight Viperfish,Chauliodus sloani,,,Indigène,Régulier,Confirmé,Non reproducteur,Actinopterygii,Stomiiformes,Stomiidae,Chauliodus,sloani,,S5,Non suivie,Pêches et Océans Canada
586,Poissons,Chevalier blanc,carpe blanche; suceur blanc; moxostome blanc,Silver Redhorse,Silver Mullet; White Nose Redhorse; White Nosed Mullet; White Nosed Sucker,Moxostoma anisurum,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cypriniformes,Catostomidae,Moxostoma,anisurum,,S4,Non suivie,Déléguée au Québec
588,Poissons,Chevalier cuivré,suceur cuivré; moxostome cuivré; carpe cuivrée,Copper Redhorse,,Moxostoma hubbsi,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cypriniformes,Catostomidae,Moxostoma,hubbsi,,S1,Menacée,Déléguée au Québec
587,Poissons,Chevalier de rivière,suceur ballot; moxostome ballot,River Redhorse,River Mullet,Moxostoma carinatum,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cypriniformes,Catostomidae,Moxostoma,carinatum,,S2S3,Vulnérable,Déléguée au Québec
590,Poissons,Chevalier jaune,suceur jaune; moxostome jaune,Greater Redhorse,Common Redhorse; Redhorse,Moxostoma valenciennesi,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cypriniformes,Catostomidae,Moxostoma,valenciennesi,,S3,Non suivie,Déléguée au Québec
589,Poissons,Chevalier rouge,suceur rouge; moxostome à cochon,Shorthead Redhorse,Northern Shorthead Redhorse; Short-headed Red-horse; Common Redhorse; Short-headed Mullet,Moxostoma macrolepidotum,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum,,S4,Non suivie,Déléguée au Québec
31166,Poissons,Chinchard frappeur,,Rough Scad,,Trachurus lathami,,,Indigène,Accidentel/Non régulier,Confirmé,Migrateur,Actinopterygii,Perciformes,Carangidae,Trachurus,lathami,,SNA,Non suivie,
618,Poissons,Choquemort,,Mummichog,,Fundulus heteroclitus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,,S5,Non suivie,Déléguée au Québec
528,Poissons,Cisco de lac,toulibi;  hareng de lac,Cisco,Lake Cisco; Lake Herring; Shallowwater Cisco; Shallowwater Cisco,Coregonus artedi,Coregonus artedii; Leucichthys artedii,"Il s'agit d'une population confinée au lac des Écorces, près de Mont-Laurier et qui fraie au printemps plutôt qu'à l'automne. Selon les données actuelles, cette population frayant au printemps est unique au monde.",Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,artedi,,S4,Non suivie,Déléguée au Québec
529,Poissons,Cisco de printemps,"cisco de lac, pop. de printemps; toulibi; hareng de lac",Spring Cisco,Shallowwater Cisco,Coregonus artedi pop. 1,Coregonus artedii; Leucichthys artedii,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,artedi,pop. 1,S1,Menacée,Déléguée au Québec
490,Poissons,Cotte polaire,,Polar Sculpin,,Cottunculus microps,,,Indigène,Régulier,Confirmé,Inconnu/non déterminé,Actinopterygii,Perciformes,Psychrolutidae,Cottunculus,microps,,S4,Non suivie,Pêches et Océans Canada
583,Poissons,Couette,brême,Quillback,Lake Quillback; Carpsucker; Long-finned Sucker; Mullet,Carpiodes cyprinus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cypriniformes,Catostomidae,Carpiodes,cyprinus,,S3S4,Non suivie,Déléguée au Québec
633,Poissons,Crapet arlequin,crapet commun à oreilles bleues; crapet à oreilles bleues,Bluegill,Bluegill Bream; Roach; Northern Bluegill Sunfish; Blue Sunfish,Lepomis macrochirus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,,S4,Non suivie,Déléguée au Québec
631,Poissons,Crapet de roche,crapet de roche du Nord; crapet aux yeux rouges; achigan de roche,Rock Bass,Northern Rock Bass; Redeye; Redeye Bass; Goggle Eye,Ambloplites rupestris,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Centrarchidae,Ambloplites,rupestris,,S5,Non suivie,Déléguée au Québec
634,Poissons,Crapet du Nord,crapet à longues oreilles du Nord; crapet à longues oreilles des Grands Lacs,Northern Sunfish,Long Ear Sunfish; Northern Longear; Great Lakes Longear Sunfish,Lepomis peltastes,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Centrarchidae,Lepomis,peltastes,,S2S3,Susceptible,Déléguée au Québec
30107,Poissons,Crapet vert,,Green sunfish,,Lepomis cyanellus,,,Exotique,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Centrarchidae,Lepomis,cyanellus,,SNA,Non suivie,Déléguée au Québec
632,Poissons,Crapet-soleil,crapet jaune; perche-soleil; montre d'or,Pumpkinseed,Pumpkinseed Sunfish; Yellow Sunfish; Common Sunfish; Sun Bass,Lepomis gibbosus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gibbosus,,S5,Non suivie,Déléguée au Québec
619,Poissons,Crayon d'argent,poisson d'argent de ruisseau du Nord,Brook Silverside,,Labidesthes sicculus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Atheriniformes,Atherinopsidae,Labidesthes,sicculus,,S4,Non suivie,Déléguée au Québec
512,Poissons,Cyclothone à petites dents,cyclothone jaune,Smalltooth Bristlemouth,Veiled Anglemouth; Small-eyed Lantern Fish,Cyclothone microdon,,,Indigène,Régulier,Confirmé,Inconnu/non déterminé,Actinopterygii,Stomiiformes,Gonostomatidae,Cyclothone,microdon,,SNA,Non suivie,Pêches et Océans Canada
30247,Poissons,Cyclothone matelot atlantique,poisson étoilé musclé,Atlantic Sailor Lightfish,Renamed Lightfish,Polymetme thaeocoryla,,,Indigène,Accidentel/non régulier,Confirmé,Non reproducteur,Actinopterygii,Stomiiformes,Phosichthyidae,Polymetme,thaeocoryla,,SNA,Non suivie,Pêches et Océans Canada
30230,Poissons,Dactyloptère,grondin volant,Flying Gurnard,,Dactylopterus volitans,,,Indigène,Accidentel/non régulier,Confirmé,Non reproducteur,Actinopterygii,Syngnathiformes,Dactylopteridae,Dactylopterus,volitans,,SNA,Non suivie,Pêches et Océans Canada
640,Poissons,Dard à ventre jaune,petit gris de vase; dard d'herbre,Iowa Darter,Yellowbelly; Weed Darter,Etheostoma exile,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Etheostoma,exile,,S4,Non suivie,Déléguée au Québec
639,Poissons,Dard arc-en-ciel,petit gris arc-en-ciel du Nord; petit-gris arc-en-ciel,Rainbow Darter,Rainbow Fish; Blue Darter; Banded Darter; Northern Rainbow Darter,Etheostoma caeruleum,,,Indigène,Inconnu/non déterminé,Rapporté par erreur,Inconnu/non déterminé,Actinopterygii,Perciformes,Percidae,Etheostoma,caeruleum,,SNA,Susceptible,Déléguée au Québec
641,Poissons,Dard barré,petit gris barré; petit-gris barré,Fantail Darter,Barred Fantail; Barred Fantail Darter,Etheostoma flabellare,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Etheostoma,flabellare,,S4,Non suivie,Déléguée au Québec
638,Poissons,Dard de sable,"COSEPAC: dard de sable, pop. du Québec; dard de sable du nord",Eastern Sand Darter,Sand Darter; Northern Sand Darter; Sand Darter,Ammocrypta pellucida,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Ammocrypta,pellucida,,S2,Menacée,Déléguée au Québec
648,Poissons,Doré jaune,doré; doré blanc; doré bleu; sandre,Walleye,Yellow Walleye; Yellow Pickerel; Yellow Pike Perch; Walleye Pike,Sander vitreus,Stizostedion vitreum,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Sander,vitreus,,S4S5,Non suivie,Déléguée au Québec
647,Poissons,Doré noir,doré charbonnier,Sauger,Sand Pickerel; Sand pike; Blue Pike Perch; Grey Pike Perch,Sander canadensis,Stizostedion canadense,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Sander,canadensis,,S4,Non suivie,Déléguée au Québec
30251,Poissons,Dragon-boa,,Boa dragonfish,,Stomias ferox,Stomia boa; Stomia boa ssp. Ferox,,Indigène,Régulier,Confirmé,Non reproducteur,Actinopterygii,Stomiiformes,Stomiidae,Stomias,ferox,,SNA,Non suivie,Pêches et Océans Canada
545,Poissons,Éperlan arc-en-ciel,éperlan; éplan,Rainbow Smelt,Atlantic Rainbow Smelt,Osmerus mordax,osmerus spectrum,Les populations du nord sont anadromes.,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax,,S4,Non suivie,Déléguée au Québec
13990,Poissons,"Éperlan arc-en-ciel, pop. du sud de l'estuaire du Saint-Laurent",,Rainbow Smelt - Southern St. Lawrence Estuary population,,Osmerus mordax pop. 1,,Population du sud (considérée dulcicole car présente dans les lacs et rivières). Espèce des côtes Atlantique Nord introduite par les canaux d'eau et dispersée ensuite comme des appâts vivants.,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax,pop. 1,S3,Vulnérable,Déléguée au Québec
623,Poissons,Épinoche à cinq épines,gogendard; étrangle-chat; pique-nique; poisson armé,Brook Stickleback,Five-spined Stickleback; Variable Stickleback; Common Freshwater Stickleback; Pinfish,Culaea inconstans,Eucalia inconstans,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gasterosteiformes,Gasterosteidae,Culaea,inconstans,,S4S5,Non suivie,Déléguée au Québec
626,Poissons,Épinoche à neuf épines,gogendard; étrangle-chat; pique-nique; poisson armé,Ninespine Stickleback,Nine-spined Stickleback; Stickleback; Pinfish; Tiny Brunstickle,Pungitius pungitius,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius,,S4S5,Non suivie,Déléguée au Québec
622,Poissons,Épinoche à quatre épines,gogendard; étrangle-chat; pique-nique; poisson armé,Fourspine Stickleback,Bloody Stickleback; Mud-pouch; Mud-perch; Stickleback Pinfish,Apeltes quadracus,,Cette espèce a été introduite des côtes Atlantique Nord via les eaux de lest libérés par les bateaux.,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,S5,Non suivie,Déléguée au Québec
624,Poissons,Épinoche à trois épines,épinoche à trois épines du Nord; épinoche à trois épines du Sud; gogendard,Threespine Stickleback,Northern Threespine Stickleback; Banstickle; Saw-finned Stickleback; Pinfish,Gasterosteus aculeatus,,"La migration de cette espèce, à partir des côtes Atlantique Nord, a été rendue possible par l'établissement des canaux d'eau.",Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,,S5,Non suivie,Déléguée au Québec
625,Poissons,Épinoche tachetée,épinoche à deux épines,Blackspotted Stickleback,Twospined Stickleback; Twospine Stickleback; Blackspot Stickleback,Gasterosteus wheatlandi,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,wheatlandi,,S5,Non suivie,Déléguée au Québec
515,Poissons,Esturgeon jaune,"COSEPAC: esturgeon jaune, pop. des Grands-Lacs et du haut Saint-Laurent; esturgeon de lac; camus; charbonnier",Lake Sturgeon,Freshwater Sturgeon; Great Lakes Strugeon; Rock Sturgeon; Stone Sturgeon,Acipenser fulvescens,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,,S3S4,Susceptible,Déléguée au Québec
516,Poissons,Esturgeon noir,"COSEPAC: esturgeon noir, pop. du Saint-Laurent; esturgeon d'eau salée; esturgeon; écaillé",Atlantic Sturgeon,Sea Sturgeon; Escailles; Common sturgeon; Sharpnose Sturgeon,Acipenser oxyrinchus,Acipenser oxyrhynchus,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,,S3S4,Susceptible,Déléguée au Québec
485,Poissons,Faux-trigle armé,,Moustache Sculpin,Mailed Sculpin,Triglops murrayi,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Triglops,murrayi,,S4,Non suivie,Pêches et Océans Canada
30264,Poissons,Faux-trigle aux grands yeux,,Bigeye Sculpin,,Triglops nybelini,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Triglops,nybelini,,S4,Non suivie,Pêches et Océans Canada
687,Poissons,Flétan de l'Atlantique,flétan,Atlantic Halibut,Grays; Cherry Bellies,Hippoglossus hippoglossus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Carangiformes,Pleuronectidae,Hippoglossus,hippoglossus,,S5B,Non suivie,Pêches et Océans Canada
691,Poissons,Flétan du Groenland,flétan noir; turbot du Groenland,Greenland Halibut,Greenland Turbot; Newfoundland Turbot; Lesser Halibut; Mock Halibut,Reinhardtius hippoglossoides,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Carangiformes,Pleuronectidae,Reinhardtius,hippoglossoides,,S5,Non suivie,Pêches et Océans Canada
617,Poissons,Fondule barré,petit barré de l'Est; petit barré,Banded Killifish,,Fundulus diaphanus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,diaphanus,,S5,Non suivie,Déléguée au Québec
646,Poissons,Fouille-roche gris,dard gris; petit gris des chenaux; dard gris,Channel Darter,Copeland's Darter,Percina copelandi,Cottogaster copelandi; Hadropterus copelandi,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Percina,copelandi,,S3,Vulnérable,Déléguée au Québec
645,Poissons,Fouille-roche zébré,dard-perche; dard-perche du nord; fouille-roche,Logperch,Zebra Fish; Log Perch; Manitou Darter; Northern Logperch,Percina caprodes,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Percidae,Percina,caprodes,,S4S5,Non suivie,Déléguée au Québec
30224,Poissons,Garcette-goitre,,Goiter Blacksmelt,,Bathylagus euryops,,,Indigène,Accidentel/non régulier,Confirmé,Non reproducteur,Actinopterygii,Argentiniformes,Bathylagidae,Bathylagus,euryops,,SNA,Non suivie,Pêches et Océans Canada
15222,Poissons,Gardon rouge,rotengle,Rudd,Pearl Roach,Scardinius erythrophthalmus,,"Cette espèce a été capturée dans le lac Saint-Pierre; elle est possiblement en expansion. Originaire des des mers Caspienne et Aral, elle fut introduite dans la rivière Hudson (en Ontario) en 1936. Depuis, elle a colonisé les lacs Ontario, Érié et Michigan. Cette espèce est souvent dispersée par les pêcheurs via son utilisation comme appât vivant.",Exotique,Régulier,Confirmé,Inconnu/non déterminé,Actinopterygii,Cypriniformes,Leuciscidae,Scardinius,erythrophthalmus,,SNA,Non suivie,Déléguée au Québec
521,Poissons,Gaspareau,faux-hareng; gasparot; kyak; kiack,Alewife,Mulhaden; Gray Herring; Spring Herring; Golden Shad,Alosa pseudoharengus,,Introduite via l'établissement des canaux d'eau.,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Clupeiformes,Alosidae,Alosa,pseudoharengus,,S5,Non suivie,Déléguée au Québec
608,Poissons,Goberge,merlan; merlan noir; colin,Pollock,Boston Blue Bish; Harbor Pollock; Pollack; Blister-back,Pollachius virens,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gadiformes,Gadidae,Pollachius,virens,,SNA,Non suivie,Pêches et Océans Canada
30304,Poissons,Gobie à nez tubulaire,gobie demi-lune; gobie de la mer Noire,Tubenose Goby,Western Tubenose Goby; Freshwater Tubenose Goby,Proterorhinus semilunaris,Gobius semilunaris,,Exotique,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Gobiidae,Proterorhinus,semilunaris,,SNA,Non suivie,Québec
14958,Poissons,Gobie à taches noires,,Round Goby,,Neogobius melanostomus,,,Exotique,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Gobiidae,Neogobius,melanostomus,,SNA,Non suivie,Déléguée au Québec
552,Poissons,Grand brochet,brochet; brochet commun; grand brochet du Nord,Northern Pike,Great Northern Pike; Jackfish; Pickerel; Great Northern Pickerel,Esox lucius,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Esociformes,Esocidae,Esox,lucius,,S4,Non suivie,Déléguée au Québec
530,Poissons,Grand corégone,corégone des Grands Lacs; corégone de la côte nord; corégone de lac,Lake Whitefish,North Shore Whitefish; Great Lakes Whitefish; Common Whitefish; Sault Whitefish,Coregonus clupeaformis,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,,S5,Non suivie,Déléguée au Québec
30227,Poissons,Grand requin blanc,,White Shark,Great White Shark,Carcharodon carcharias,,,Indigène,Régulier,Confirmé,Non reproducteur,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,carcharias,,SNA,Non suivie,Pêches et Océans Canada
30222,Poissons,Grande argentine,,Greater Argentine,,Argentina silus,,,Indigène,Régulier,Confirmé,Non reproducteur,Actinopterygii,Argentiniformes,Argentinidae,Argentina,silus,,S5,Non suivie,Pêches et Océans Canada
30223,Poissons,Grande hache d'argent,,Greater Silver Hatchetfish,,Argyropelecus gigas,,,Indigène,Régulier,Confirmé,Inconnu/non déterminé,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus,gigas,,S5,Non suivie,Pêches et Océans Canada
668,Poissons,Grande lycode,lycode d'Esmark,Greater Eelpout,Esmark's Eelpout,Lycodes esmarkii,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Zoarcidae,Lycodes,esmarkii,,S4,Non suivie,Pêches et Océans Canada
612,Poissons,Grenadier du Grand Banc,grenadier de Baird,Marlin-spike,Common Grenadier; Common Rat-tail,Nezumia bairdii,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Gadiformes,Macrouridae,Nezumia,bairdii,,S5,Non suivie,Pêches et Océans Canada
507,Poissons,Grosse poule de mer,lompe; poule d'eau,Lumpfish,Henfish; Lump; Lumpsucker,Cyclopterus lumpus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Cyclopteridae,Cyclopterus,lumpus,,S5,Non suivie,Pêches et Océans Canada
30265,Poissons,Gymnaste atlantique,,Bluntsnout Smooth-Head,Bluntsnout Slickhead,Xenodermichthys copei,,,Indigène,Régulier,Confirmé,Non reproducteur,Actinopterygii,Alepocephaliformes,Alepocephalidae,Xenodermichthys,copei,,S4,Non suivie,Pêches et Océans Canada
30246,Poissons,Hache du talus continental,dix-bards des pentes,Slope Hatchetfish,,Polyipnus clarus,,,Indigène,Régulier,Confirmé,Inconnu/non déterminé,Actinopterygii,Stomiiformes,Sternoptychidae,Polyipnus,clarus,,S4,Non suivie,Pêches et Océans Canada
488,Poissons,Hameçon atlantique,,Atlantic Hookear Sculpin,Hookear,Artediellus atlanticus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Artediellus,atlanticus,,S5,Non suivie,Pêches et Océans Canada
489,Poissons,Hameçon neigeux,crochet artique; crochet artique; crapaud de mer,Arctic Hookear Sculpin,Snowflake Hookear; Snowflake Hookear Sculpin; Hookear Sculpin,Artediellus uncinatus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Artediellus,uncinatus,,S5,Non suivie,Pêches et Océans Canada
525,Poissons,Hareng atlantique,hareng,Atlantic Herring,Sea Herring; Bloater; Kipper; Digby Chick,Clupea harengus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,,S4B,Non suivie,Pêches et Océans Canada
492,Poissons,Hémitriptère atlantique,,Sea Raven,,Hemitripterus americanus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Agonidae,Hemitripterus,americanus,,S5,Non suivie,Pêches et Océans Canada
30253,Poissons,Hoplostète argenté,,Silver Roughy,,Hoplostethus mediterraneus,,,Indigène,Accidentel/non régulier,Confirmé,Non reproducteur,Actinopterygii,Trachichthyiformes,Trachichthyidae,Hoplostethus,mediterraneus,,SNA,Non suivie,Pêches et Océans Canada
30237,Poissons,Icèle à deux cornes,,Twohorn Sculpin,,Icelus bicornis,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Icelus,bicornis,,S5,Non suivie,Pêches et Océans Canada
494,Poissons,Icèle spatulée,,Spatulate Sculpin,,Icelus spatula,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Perciformes,Psychrolutidae,Icelus,spatula,,S5,Non suivie,Pêches et Océans Canada
708,Poissons,Laimargue atlantique,requin du Groenland; laimargue,Greenland Shark,Sleeper Shark; Ground Shark; Grey Shark,Somniosus microcephalus,,,Indigène,Régulier,Confirmé,Toute l'année,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,microcephalus,,S4,Non suivie,Pêches et Océans Canada
30238,Poissons,Lampe à nez denté,lanternule-opale costumée,Mirror Lanternfish,,Lampadena speculigera,,,Indigène,Accidentel/non régulier,Confirmé,Inconnu/non déterminé,Actinopterygii,Myctophiformes,Myctophidae,Lampadena,speculigera,,SNA,Non suivie,Pêches et Océans Canada
469,Poissons,Lamproie argentée,"COSEPAC: lamproie argentée, pop. des Grands Lacs et du Haut Saint-Laurent",Silver Lamprey,Northern Lamprey; Brook Lamprey; Lamprey Eel; Lamper Eel,Ichthyomyzon unicuspis,,,Indigène,Régulier,Confirmé,Toute l'année,Petromyzontida,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,unicuspis,,S3S4,Non suivie,Déléguée au Québec
14477,Poissons,Lamproie brune,,Chestnut Lamprey,,Ichthyomyzon castaneus,,"Nouvelle espèce parasite récemment identifiée pour le Québec mais récoltée quatre fois au Québec (en 1941 à Dorval, en 1964 à Saint-Vallier et en 1971 dans un tributaire de la rivière Outaouais à Hull).",Indigène,Régulier,Confirmé,Inconnu/non déterminé,Petromyzontida,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,castaneus,,S3?,Non suivie,Déléguée au Québec
470,Poissons,Lamproie de l'Est,lamproie américaine de ruisseau,American Brook Lamprey,Small Black Lamprey; Brook Lamprey; Small Black Brook Lamprey; Lamper Eel,Lethenteron appendix,Lampetra appendix; Lampetra lamottei,,Indigène,Régulier,Confirmé,Toute l'année,Petromyzontida,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix,,S4?,Non suivie,Déléguée au Québec
468,Poissons,Lamproie du Nord,"COSEPAC: lamproie du Nord, pop. des Grands-Lacs et du haut Saint-Laurent; lamproie de ruisseau du Nord",Northern Brook Lamprey,Michigan Brook Lamprey; Brook Lamprey; Blood Sucker,Ichthyomyzon fossor,,,Indigène,Régulier,Confirmé,Toute l'année,Petromyzontida,Petromyzontiformes,Petromyzontidae,Ichthyomyzon,fossor,,S2,Menacée,Déléguée au Québec
471,Poissons,Lamproie marine,lamproie de mer; grande lamproie marine,Sea Lamprey,Great Sea Lamprey; Landlocked Sea Lamprey; Lake Lamprey; Lamprey Eel,Petromyzon marinus,,Cette espèce indigène a longtemps été considérée comme étant introduite dans les Grands Lacs via les canaux des écluses. Sa présence au Québec semble associée au transport maritime via  les carènes des navires.,Indigène,Régulier,Confirmé,Toute l'année,Petromyzontida,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus,,S5,Non suivie,Déléguée au Québec
30218,Poissons,Lançon arctique,lançon gourdeau,Arctic Sand Lance,,Ammodytes hexapterus,,,Indigène,Régulier,Confirmé,Toute l'année,Actinopterygii,Labriformes,Ammodytidae,Ammodytes,hexapterus,,S5,Non suivie,Pêches et Océans Canada
